"Year","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)"
"1960","17.1647509578544"
"1961","18.2015953589558"
"1962","19.7841726618705"
"1963","19.3570929419986"
"1964","21.4189189189189"
"1965","22.8291316526611"
"1966","21.7197452229299"
"1967","23.0995875073659"
"1968","19.4847020933977"
"1969","21.155830753354"
"1970","22.9550102249489"
"1971","24.7227356746765"
"1972","24.2636746143058"
"1973","23.1027857829011"
"1974","23.1518370960602"
"1975","20.7663197729423"
"1976","20.1188843164152"
"1977","20.0170357751278"
"1978","18.2758620689655"
"1979","21.1538461538462"
"1980","22.3638470451912"
"1981","22.6547294667186"
"1982","21.2900672734468"
"1983","20.7006369426752"
"1984","23.0522088353414"
"1985","21.9281663516068"
"1986","18.5360524399126"
"1987","20.1030927835052"
"1988","18.1850533807829"
"1989","18.3715360930551"
"1990","13.2514114911989"
"1991","13.3138020833333"
"1992","12.3256568277652"
"1993","12.7783155856728"
"1994","12.9837702871411"
"1995","12.9328838492185"
"1996","11.8010594467334"
"1997","12.4892826521863"
"1998","11.5425531914894"
"1999","11.6368286445013"
"2000","12.956159686505"
"2001","12.1741154562384"
"2002","11.7633079847909"
"2003","12.389802239695"
"2004","12.6474752241623"
"2005","12.4321880650995"
"2006","12.3645211236452"
"2007","11.0236220472441"
"2008","11.2624886466848"
"2009","9.34650455927052"
"2010","9.05161454360539"
"2011","10.3634298693924"
"2012","10.0308209582516"
"2013","10.2586457425167"
"2014","10.5729474305966"

