"STATISTIC Label","Month","Type of Vehicle Registration","Type of Fuel","UNIT","VALUE"
"New Vehicles Licensed for the First Time","2015M01","All Vehicles","Electric","Number","68"
"New Vehicles Licensed for the First Time","2015M02","All Vehicles","Electric","Number","72"
"New Vehicles Licensed for the First Time","2015M03","All Vehicles","Electric","Number","58"
"New Vehicles Licensed for the First Time","2015M04","All Vehicles","Electric","Number","76"
"New Vehicles Licensed for the First Time","2015M05","All Vehicles","Electric","Number","38"
"New Vehicles Licensed for the First Time","2015M06","All Vehicles","Electric","Number","16"
"New Vehicles Licensed for the First Time","2015M07","All Vehicles","Electric","Number","65"
"New Vehicles Licensed for the First Time","2015M08","All Vehicles","Electric","Number","53"
"New Vehicles Licensed for the First Time","2015M09","All Vehicles","Electric","Number","27"
"New Vehicles Licensed for the First Time","2015M10","All Vehicles","Electric","Number","11"
"New Vehicles Licensed for the First Time","2015M11","All Vehicles","Electric","Number","10"
"New Vehicles Licensed for the First Time","2015M12","All Vehicles","Electric","Number","3"
"New Vehicles Licensed for the First Time","2016M01","All Vehicles","Electric","Number","33"
"New Vehicles Licensed for the First Time","2016M02","All Vehicles","Electric","Number","93"
"New Vehicles Licensed for the First Time","2016M03","All Vehicles","Electric","Number","82"
"New Vehicles Licensed for the First Time","2016M04","All Vehicles","Electric","Number","53"
"New Vehicles Licensed for the First Time","2016M05","All Vehicles","Electric","Number","26"
"New Vehicles Licensed for the First Time","2016M06","All Vehicles","Electric","Number","11"
"New Vehicles Licensed for the First Time","2016M07","All Vehicles","Electric","Number","38"
"New Vehicles Licensed for the First Time","2016M08","All Vehicles","Electric","Number","37"
"New Vehicles Licensed for the First Time","2016M09","All Vehicles","Electric","Number","13"
"New Vehicles Licensed for the First Time","2016M10","All Vehicles","Electric","Number","13"
"New Vehicles Licensed for the First Time","2016M11","All Vehicles","Electric","Number","12"
"New Vehicles Licensed for the First Time","2016M12","All Vehicles","Electric","Number","0"
"New Vehicles Licensed for the First Time","2017M01","All Vehicles","Electric","Number","109"
"New Vehicles Licensed for the First Time","2017M02","All Vehicles","Electric","Number","91"
"New Vehicles Licensed for the First Time","2017M03","All Vehicles","Electric","Number","49"
"New Vehicles Licensed for the First Time","2017M04","All Vehicles","Electric","Number","81"
"New Vehicles Licensed for the First Time","2017M05","All Vehicles","Electric","Number","37"
"New Vehicles Licensed for the First Time","2017M06","All Vehicles","Electric","Number","13"
"New Vehicles Licensed for the First Time","2017M07","All Vehicles","Electric","Number","78"
"New Vehicles Licensed for the First Time","2017M08","All Vehicles","Electric","Number","76"
"New Vehicles Licensed for the First Time","2017M09","All Vehicles","Electric","Number","52"
"New Vehicles Licensed for the First Time","2017M10","All Vehicles","Electric","Number","38"
"New Vehicles Licensed for the First Time","2017M11","All Vehicles","Electric","Number","35"
"New Vehicles Licensed for the First Time","2017M12","All Vehicles","Electric","Number","5"
"New Vehicles Licensed for the First Time","2018M01","All Vehicles","Electric","Number","79"
"New Vehicles Licensed for the First Time","2018M02","All Vehicles","Electric","Number","92"
"New Vehicles Licensed for the First Time","2018M03","All Vehicles","Electric","Number","79"
"New Vehicles Licensed for the First Time","2018M04","All Vehicles","Electric","Number","161"
"New Vehicles Licensed for the First Time","2018M05","All Vehicles","Electric","Number","114"
"New Vehicles Licensed for the First Time","2018M06","All Vehicles","Electric","Number","43"
"New Vehicles Licensed for the First Time","2018M07","All Vehicles","Electric","Number","302"
"New Vehicles Licensed for the First Time","2018M08","All Vehicles","Electric","Number","207"
"New Vehicles Licensed for the First Time","2018M09","All Vehicles","Electric","Number","131"
"New Vehicles Licensed for the First Time","2018M10","All Vehicles","Electric","Number","63"
"New Vehicles Licensed for the First Time","2018M11","All Vehicles","Electric","Number","35"
"New Vehicles Licensed for the First Time","2018M12","All Vehicles","Electric","Number","22"
"New Vehicles Licensed for the First Time","2019M01","All Vehicles","Electric","Number","614"
"New Vehicles Licensed for the First Time","2019M02","All Vehicles","Electric","Number","383"
"New Vehicles Licensed for the First Time","2019M03","All Vehicles","Electric","Number","329"
"New Vehicles Licensed for the First Time","2019M04","All Vehicles","Electric","Number","316"
"New Vehicles Licensed for the First Time","2019M05","All Vehicles","Electric","Number","263"
"New Vehicles Licensed for the First Time","2019M06","All Vehicles","Electric","Number","128"
"New Vehicles Licensed for the First Time","2019M07","All Vehicles","Electric","Number","531"
"New Vehicles Licensed for the First Time","2019M08","All Vehicles","Electric","Number","428"
"New Vehicles Licensed for the First Time","2019M09","All Vehicles","Electric","Number","164"
"New Vehicles Licensed for the First Time","2019M10","All Vehicles","Electric","Number","297"
"New Vehicles Licensed for the First Time","2019M11","All Vehicles","Electric","Number","207"
"New Vehicles Licensed for the First Time","2019M12","All Vehicles","Electric","Number","143"
"New Vehicles Licensed for the First Time","2020M01","All Vehicles","Electric","Number","587"
"New Vehicles Licensed for the First Time","2020M02","All Vehicles","Electric","Number","482"
"New Vehicles Licensed for the First Time","2020M03","All Vehicles","Electric","Number","503"
"New Vehicles Licensed for the First Time","2020M04","All Vehicles","Electric","Number","110"
"New Vehicles Licensed for the First Time","2020M05","All Vehicles","Electric","Number","158"
"New Vehicles Licensed for the First Time","2020M06","All Vehicles","Electric","Number","104"
"New Vehicles Licensed for the First Time","2020M07","All Vehicles","Electric","Number","531"
"New Vehicles Licensed for the First Time","2020M08","All Vehicles","Electric","Number","420"
"New Vehicles Licensed for the First Time","2020M09","All Vehicles","Electric","Number","683"
"New Vehicles Licensed for the First Time","2020M10","All Vehicles","Electric","Number","645"
"New Vehicles Licensed for the First Time","2020M11","All Vehicles","Electric","Number","128"
"New Vehicles Licensed for the First Time","2020M12","All Vehicles","Electric","Number","92"
"New Vehicles Licensed for the First Time","2021M01","All Vehicles","Electric","Number","744"
"New Vehicles Licensed for the First Time","2021M02","All Vehicles","Electric","Number","579"
"New Vehicles Licensed for the First Time","2021M03","All Vehicles","Electric","Number","1052"
"New Vehicles Licensed for the First Time","2021M04","All Vehicles","Electric","Number","949"
"New Vehicles Licensed for the First Time","2021M05","All Vehicles","Electric","Number","764"
"New Vehicles Licensed for the First Time","2021M06","All Vehicles","Electric","Number","772"
"New Vehicles Licensed for the First Time","2021M07","All Vehicles","Electric","Number","1607"
"New Vehicles Licensed for the First Time","2021M08","All Vehicles","Electric","Number","1003"
"New Vehicles Licensed for the First Time","2021M09","All Vehicles","Electric","Number","951"
"New Vehicles Licensed for the First Time","2021M10","All Vehicles","Electric","Number","706"
"New Vehicles Licensed for the First Time","2021M11","All Vehicles","Electric","Number","341"
"New Vehicles Licensed for the First Time","2021M12","All Vehicles","Electric","Number","148"
"New Vehicles Licensed for the First Time","2022M01","All Vehicles","Electric","Number","1850"
"New Vehicles Licensed for the First Time","2022M02","All Vehicles","Electric","Number","1879"
"New Vehicles Licensed for the First Time","2022M03","All Vehicles","Electric","Number","1793"
"New Vehicles Licensed for the First Time","2022M04","All Vehicles","Electric","Number","1427"
"New Vehicles Licensed for the First Time","2022M05","All Vehicles","Electric","Number","1164"
"New Vehicles Licensed for the First Time","2022M06","All Vehicles","Electric","Number","540"
"New Vehicles Licensed for the First Time","2022M07","All Vehicles","Electric","Number","1876"
"New Vehicles Licensed for the First Time","2022M08","All Vehicles","Electric","Number","1587"
"New Vehicles Licensed for the First Time","2022M09","All Vehicles","Electric","Number","1974"
"New Vehicles Licensed for the First Time","2022M10","All Vehicles","Electric","Number","1263"
"New Vehicles Licensed for the First Time","2022M11","All Vehicles","Electric","Number","653"
"New Vehicles Licensed for the First Time","2022M12","All Vehicles","Electric","Number","262"
"New Vehicles Licensed for the First Time","2023M01","All Vehicles","Electric","Number","2587"
"New Vehicles Licensed for the First Time","2023M02","All Vehicles","Electric","Number","2149"
"New Vehicles Licensed for the First Time","2023M03","All Vehicles","Electric","Number","3003"
"New Vehicles Licensed for the First Time","2023M04","All Vehicles","Electric","Number","2418"
"New Vehicles Licensed for the First Time","2023M05","All Vehicles","Electric","Number","2184"
"New Vehicles Licensed for the First Time","2023M06","All Vehicles","Electric","Number","1928"
"New Vehicles Licensed for the First Time","2023M07","All Vehicles","Electric","Number","3182"
"New Vehicles Licensed for the First Time","2023M08","All Vehicles","Electric","Number","2346"
"New Vehicles Licensed for the First Time","2023M09","All Vehicles","Electric","Number","1621"
"New Vehicles Licensed for the First Time","2023M10","All Vehicles","Electric","Number","1318"
"New Vehicles Licensed for the First Time","2023M11","All Vehicles","Electric","Number","645"
"New Vehicles Licensed for the First Time","2023M12","All Vehicles","Electric","Number","381"
"New Vehicles Licensed for the First Time","2024M01","All Vehicles","Electric","Number","2948"
"New Vehicles Licensed for the First Time","2024M02","All Vehicles","Electric","Number","2182"
